flight_number,airline,passengers,arrival_date,arrival_time
1109,DL,1010,20130110,19000101110100
717,AA,1389,20130110,19000101112200
301,DL,1598,20130110,19000101125800
947,DL,762,20130110,19000101213100
695,UA,733,20130110,19000101215200
4555,MQ,479,20130110,19000101221300
4519,EV,169,20130110,19000101224700
112,B6,301,20130111,19000101000900
117,B6,1182,20130111,19000101085600
2165,US,214,20130111,19000101091200
671,B6,2475,20130111,19000101102600
3494,WN,1605,20130111,19000101121600
375,B6,1076,20130111,19000101122800
1871,AA,1096,20130111,19000101123900
1873,WN,888,20130111,19000101124000
1623,AA,1085,20130111,19000101142600
1459,US,544,20130111,19000101145900
4628,EV,872,20130111,19000101154800
63,B6,1005,20130111,19000101164200
83,B6,2422,20130111,19000101164400
4579,MQ,544,20130111,19000101173000
141,B6,1028,20130111,19000101174300
4661,MQ,762,20130111,19000101184500
1467,AA,1096,20130111,19000101191700
4127,9E,228,20130111,19000101210700
2370,DL,1035,20130111,19000101221400
3320,9E,301,20130111,19000101222000
3744,MQ,719,20130111,19000101222600
1083,WN,725,20130112,19000101080700
303,AA,733,20130112,19000101080800
1057,US,541,20130112,19000101082800
71,B6,1005,20130112,19000101085700
3852,EV,212,20130112,19000101112000
1599,WN,738,20130112,19000101132000
4601,MQ,764,20130112,19000101132200
238,UA,1085,20130112,19000101152500
5712,EV,228,20130112,19000101160200
3689,9E,94,20130112,19000101171700
347,B6,1041,20130112,19000101173300
95,DL,760,20130112,19000101181600
1748,WN,711,20130112,19000101185400
3579,9E,636,20130112,19000101204200
4703,EV,282,20130112,19000101204200
947,DL,762,20130112,19000101210800
1269,US,541,20130113,19000101075300
4406,MQ,427,20130113,19000101093700
421,UA,2565,20130113,19000101093900
1525,UA,1068,20130113,19000101100100
914,DL,1620,20130113,19000101103800
181,DL,502,20130113,19000101104400
4087,EV,284,20130113,19000101130800
315,DL,1598,20130113,19000101155600
2183,US,214,20130113,19000101180500
2115,DL,1096,20130113,19000101182400
3453,9E,187,20130113,19000101182600
345,AA,733,20130113,19000101192200
2185,US,214,20130113,19000101194500
4520,EV,284,20130113,19000101213300
402,DL,187,20130113,19000101214400
3525,9E,740,20130113,19000101222700
1416,UA,1400,20130113,19000101230100
11,B6,1069,20130114,19000101002800
739,B6,1617,20130114,19000101042900
1701,UA,1065,20130114,19000101093900
3856,9E,760,20130114,19000101095000
1179,UA,997,20130114,19000101104400
4388,EV,820,20130114,19000101111300
4694,EV,725,20130114,19000101122600
1,AA,2475,20130114,19000101122700
353,FL,397,20130114,19000101132100
3387,9E,427,20130114,19000101174400
1522,UA,2565,20130114,19000101180700
337,UA,1416,20130114,19000101182700
145,AA,2446,20130114,19000101203100
391,B6,950,20130114,19000101203500
4517,MQ,444,20130114,19000101210200
4133,EV,594,20130114,19000101221100
1147,DL,762,20130114,19000101224600
731,DL,502,20130115,19000101075100
203,B6,2248,20130115,19000101094900
17,B6,1069,20130115,19000101111400
731,AA,1389,20130115,19000101134100
1483,UA,719,20130115,19000101143800
1612,UA,1372,20130115,19000101160500
95,DL,760,20130115,19000101190800
4485,EV,416,20130115,19000101195700
15,B6,1069,20130115,19000101200700
954,UA,719,20130115,19000101202800
575,AA,1747,20130115,19000101224100
399,B6,950,20130116,19000101011000
102,B6,301,20130116,19000101081100
1791,US,541,20130116,19000101084200
3737,MQ,719,20130116,19000101091600
2118,US,184,20130116,19000101095900
1051,B6,340,20130116,19000101102800
341,B6,1041,20130116,19000101104000
5711,EV,228,20130116,19000101113400
1873,WN,888,20130116,19000101132400
301,DL,1598,20130116,19000101133500
4279,EV,1092,20130116,19000101140300
625,B6,1428,20130116,19000101150900
1515,UA,2402,20130116,19000101151500
315,DL,1598,20130116,19000101160700
315,UA,937,20130116,19000101180800
1600,UA,2454,20130116,19000101181700
1773,DL,1990,20130116,19000101195300
3730,MQ,719,20130116,19000101204400
354,FL,397,20130116,19000101214700
405,UA,937,20130116,19000101225400
4088,EV,199,20130116,19000101235400
43,B6,944,20130117,19000101003100
369,WN,711,20130117,19000101100100
269,DL,760,20130117,19000101104800
835,F9,1620,20130117,19000101112800
4670,MQ,764,20130117,19000101114100
1765,DL,2586,20130117,19000101131500
731,AA,1389,20130117,19000101141900
345,UA,2565,20130117,19000101152100
385,UA,1400,20130117,19000101171000
1925,AA,1096,20130117,19000101180700
4410,MQ,213,20130117,19000101183200
1550,UA,2227,20130117,19000101183400
4705,EV,746,20130117,19000101193600
353,AA,733,20130117,19000101200800
3375,9E,1587,20130117,19000101202400
3525,9E,740,20130117,19000101205600
217,B6,2465,20130117,19000101210200
3439,9E,589,20130117,19000101220300
6,DL,1990,20130117,19000101225600
4397,EV,1092,20130118,19000101010000
4941,EV,1008,20130118,19000101082100
550,UA,733,20130118,19000101083500
4490,MQ,479,20130118,19000101095500
2003,DL,1096,20130118,19000101100900
4349,EV,284,20130118,19000101130800
373,B6,1076,20130118,19000101135200
2099,AA,1096,20130118,19000101141700
1131,DL,502,20130118,19000101143500
1707,UA,997,20130118,19000101143500
1734,UA,719,20130118,19000101155500
991,B6,1028,20130118,19000101160700
5486,EV,335,20130118,19000101180500
981,WN,738,20130118,19000101202900
3783,MQ,483,20130118,19000101214700
1416,UA,1400,20130118,19000101222000
4507,MQ,431,20130118,19000101224300
415,VX,2475,20130118,19000101232200
79,B6,944,20130119,19000101085700
1172,B6,200,20130119,19000101090300
981,B6,1069,20130119,19000101101900
3661,9E,264,20130119,19000101105300
336,UA,1882,20130119,19000101113600
721,AA,1389,20130119,19000101120000
4426,MQ,479,20130119,19000101143400
1055,US,544,20130119,19000101143600
1783,B6,944,20130119,19000101163400
63,B6,1005,20130119,19000101165600
3689,9E,94,20130119,19000101170400
325,UA,719,20130119,19000101172500
3459,9E,765,20130119,19000101174100
83,B6,2422,20130119,19000101175600
1443,WN,872,20130119,19000101181300
1351,AA,740,20130119,19000101202300
825,WN,725,20130119,19000101210700
269,AA,2422,20130119,19000101221000
4292,EV,529,20130120,19000101080700
4418,MQ,213,20130120,19000101094200
4700,EV,746,20130120,19000101133100
1459,US,544,20130120,19000101144400
1197,WN,738,20130120,19000101165400
3459,9E,765,20130120,19000101175600
1695,DL,1010,20130120,19000101183900
145,AA,2446,20130120,19000101204200
711,B6,2248,20130120,19000101212900
3272,EV,419,20130120,19000101214400
3422,9E,187,20130121,19000101094200
544,UA,733,20130121,19000101101200
112,UA,2475,20130121,19000101113400
1589,AA,1372,20130121,19000101122800
4485,MQ,479,20130121,19000101131400
4431,MQ,431,20130121,19000101133800
373,B6,1076,20130121,19000101134100
4475,MQ,431,20130121,19000101151300
1641,UA,937,20130121,19000101154300
315,DL,1598,20130121,19000101154800
4323,MQ,290,20130121,19000101180500
36,B6,264,20130121,19000101182000
3985,MQ,589,20130121,19000101182700
4576,EV,605,20130121,19000101183100
3369,9E,1182,20130121,19000101224100
754,UA,997,20130121,19000101230700
128,B6,266,20130121,19000101234800
3819,EV,642,20130122,19000101000700
1733,US,544,20130122,19000101101000
1865,DL,2586,20130122,19000101102800
1589,AA,1372,20130122,19000101122100
3483,9E,187,20130122,19000101124700
4462,EV,628,20130122,19000101132200
4156,EV,746,20130122,19000101134700
3795,MQ,719,20130122,19000101135600
1947,DL,762,20130122,19000101143500
63,B6,1005,20130122,19000101170800
4271,EV,143,20130122,19000101172900
1064,UA,200,20130122,19000101175400
759,AA,1389,20130122,19000101175800
3387,9E,427,20130122,19000101180100
627,UA,719,20130122,19000101181100
36,B6,264,20130122,19000101182900
153,B6,944,20130122,19000101184300
133,AA,2475,20130122,19000101205100
359,AA,733,20130122,19000101205300
4484,MQ,764,20130122,19000101210100
677,B6,2475,20130123,19000101000100
4650,MQ,762,20130123,19000101081000
1609,UA,1605,20130123,19000101091800
4655,MQ,764,20130123,19000101093600
2003,DL,1096,20130123,19000101100700
269,DL,760,20130123,19000101110500
4279,EV,1092,20130123,19000101134800
523,B6,937,20130123,19000101135900
4090,EV,820,20130123,19000101152400
209,B6,2465,20130123,19000101155900
1705,DL,1183,20130123,19000101161500
1344,DL,1107,20130123,19000101170300
4669,MQ,762,20130123,19000101170300
17,UA,404,20130123,19000101175300
1600,UA,2454,20130123,19000101182200
372,WN,888,20130123,19000101184000
2027,DL,1069,20130123,19000101184600
440,WN,872,20130123,19000101190000
656,US,2133,20130123,19000101195900
951,DL,760,20130123,19000101212800
4695,EV,209,20130123,19000101213900
3320,9E,301,20130123,19000101215200
1787,AA,1005,20130123,19000101222500
3833,EV,872,20130123,19000101230300
4241,EV,199,20130124,19000101084000
675,US,529,20130124,19000101100200
2003,DL,1096,20130124,19000101100700
1299,UA,1068,20130124,19000101101100
544,UA,733,20130124,19000101103700
1539,UA,1372,20130124,19000101110300
4521,MQ,431,20130124,19000101111800
2134,US,184,20130124,19000101174300
3805,EV,708,20130124,19000101194700
389,WN,725,20130124,19000101195400
250,UA,2454,20130124,19000101200300
3730,MQ,719,20130124,19000101201000
894,US,544,20130124,19000101202400
402,DL,187,20130124,19000101213200
7,AS,2402,20130124,19000101214900
4437,EV,529,20130124,19000101220400
371,AA,733,20130124,19000101223300
4573,MQ,502,20130124,19000101232400
399,B6,950,20130124,19000101232700
112,B6,301,20130125,19000101003100
2119,DL,1020,20130125,19000101094500
1879,DL,1076,20130125,19000101100100
914,DL,1620,20130125,19000101104500
4663,EV,212,20130125,19000101112100
2395,DL,1035,20130125,19000101114300
1529,DL,2248,20130125,19000101125700
4425,MQ,213,20130125,19000101130900
689,UA,733,20130125,19000101180100
1473,DL,963,20130125,19000101182600
706,DL,1521,20130125,19000101200100
3944,MQ,184,20130125,19000101202600
1047,DL,762,20130125,19000101205600
623,FL,762,20130125,19000101205600
3424,9E,509,20130125,19000101210100
402,DL,187,20130125,19000101230500
1507,US,529,20130126,19000101083100
346,FL,762,20130126,19000101102200
835,F9,1620,20130126,19000101110100
4604,EV,550,20130126,19000101111000
486,UA,1795,20130126,19000101114600
41,B6,944,20130126,19000101121700
59,B6,1005,20130126,19000101133600
4431,MQ,431,20130126,19000101134800
348,FL,762,20130126,19000101152200
32,B6,264,20130126,19000101152300
215,B6,1608,20130126,19000101153600
4357,9E,290,20130126,19000101163100
1508,DL,1074,20130126,19000101191600
1585,DL,950,20130126,19000101195000
127,DL,2475,20130126,19000101205000
2391,DL,1005,20130126,19000101220000
926,US,529,20130127,19000101081900
1837,AA,1096,20130127,19000101084300
1895,AA,1085,20130127,19000101090500
1572,UA,200,20130127,19000101091500
691,UA,2586,20130127,19000101093300
2167,US,214,20130127,19000101095200
3353,9E,509,20130127,19000101110000
59,AA,2586,20130127,19000101110100
1103,B6,427,20130127,19000101110300
1,AA,2475,20130127,19000101115400
4893,EV,488,20130127,19000101155700
349,FL,762,20130127,19000101162900
3387,9E,427,20130127,19000101175700
5486,EV,335,20130127,19000101180200
1331,DL,1626,20130127,19000101182400
2183,US,214,20130127,19000101184600
2138,US,184,20130127,19000101185000
1307,B6,228,20130127,19000101185500
623,FL,762,20130127,19000101195400
602,UA,1416,20130127,19000101200700
4091,9E,184,20130127,19000101203200
1462,UA,2434,20130127,19000101214300
1435,DL,1010,20130127,19000101215800
4312,EV,199,20130127,19000101215800
850,FL,738,20130128,19000101084200
2118,US,184,20130128,19000101085300
3856,9E,760,20130128,19000101085600
4537,EV,946,20130128,19000101101500
715,AA,1389,20130128,19000101103400
20,B6,264,20130128,19000101110800
2173,US,214,20130128,19000101132200
1685,DL,950,20130128,19000101153700
1344,DL,1107,20130128,19000101164200
4581,EV,725,20130128,19000101165800
1175,UA,1068,20130128,19000101172200
393,B6,950,20130128,19000101181800
1771,DL,509,20130128,19000101182600
872,UA,937,20130128,19000101184100
3695,MQ,719,20130128,19000101194000
4584,MQ,544,20130128,19000101223300
4401,MQ,502,20130129,19000101080400
1919,DL,1020,20130129,19000101083600
4418,MQ,213,20130129,19000101093000
719,UA,1372,20130129,19000101093400
1299,UA,1068,20130129,19000101101200
517,B6,937,20130129,19000101102200
1655,UA,2434,20130129,19000101105100
33,AA,2475,20130129,19000101105300
25,B6,1069,20130129,19000101120500
4662,EV,416,20130129,19000101120900
4426,MQ,479,20130129,19000101144300
509,B6,1065,20130129,19000101193100
575,AA,1747,20130129,19000101194000
3695,MQ,719,20130129,19000101194000
1593,UA,2434,20130129,19000101204500
535,UA,2475,20130129,19000101205800
354,FL,397,20130129,19000101215000
4033,9E,647,20130129,19000101221500
179,B6,2153,20130129,19000101231000
1251,UA,1416,20130130,19000101083300
3737,MQ,719,20130130,19000101085600
1855,AA,888,20130130,19000101102100
1481,UA,1608,20130130,19000101121400
714,UA,1085,20130130,19000101121500
3792,MQ,213,20130130,19000101122800
3795,MQ,719,20130130,19000101123400
1174,B6,200,20130130,19000101131100
1608,UA,1504,20130130,19000101175800
1925,AA,1096,20130130,19000101180600
543,AA,1089,20130130,19000101204800
4661,MQ,762,20130130,19000101205500
4109,EV,725,20130130,19000101212700
985,B6,1010,20130130,19000101212800
695,AA,1521,20130130,19000101213600
4348,EV,1008,20130130,19000101231300
4548,EV,416,20130131,19000101105100
1429,US,544,20130131,19000101105300
714,UA,1085,20130131,19000101120800
4388,EV,820,20130131,19000101121000
3667,9E,94,20130131,19000101125200
2120,US,184,20130131,19000101140700
1174,DL,1035,20130131,19000101150300
4120,EV,282,20130131,19000101152900
1331,DL,1626,20130131,19000101183500
1016,B6,187,20130131,19000101205300
954,UA,719,20130131,19000101212700
269,AA,2422,20130131,19000101215600
4449,MQ,213,20130131,19000101232000
135,WN,1620,20130201,19000101085900
2047,DL,762,20130201,19000101102700
4610,MQ,762,20130201,19000101110400
33,AA,2475,20130201,19000101113400
1427,US,541,20130201,19000101121600
930,DL,1076,20130201,19000101151200
8,B6,301,20130201,19000101161800
3375,9E,1587,20130201,19000101205100
177,AA,2586,20130201,19000101211400
3320,9E,301,20130201,19000101212400
4348,EV,1008,20130201,19000101231100
608,B6,273,20130202,19000101004900
4911,EV,488,20130202,19000101075000
4707,EV,645,20130202,19000101084000
4388,EV,820,20130202,19000101110000
375,B6,1076,20130202,19000101121900
1707,UA,997,20130202,19000101142600
179,AA,2586,20130202,19000101145500
95,DL,760,20130202,19000101181700
1351,AA,740,20130202,19000101190000
516,UA,2227,20130202,19000101191700
4277,9E,290,20130202,19000101191900
543,AA,1089,20130202,19000101203600
4695,EV,209,20130202,19000101212900
383,B6,1076,20130203,19000101001100
1837,AA,1096,20130203,19000101091500
3611,9E,340,20130203,19000101092500
4584,EV,946,20130203,19000101100300
353,UA,2565,20130203,19000101103300
3353,9E,509,20130203,19000101112700
887,US,529,20130203,19000101120500
1663,UA,2565,20130203,19000101121700
1031,DL,502,20130203,19000101125500
1006,B6,187,20130203,19000101135500
3452,9E,187,20130203,19000101154800
4687,EV,569,20130203,19000101165700
4,DL,944,20130203,19000101184800
509,B6,1065,20130203,19000101193900
1262,UA,937,20130203,19000101201800
413,VX,2475,20130203,19000101203000
4133,EV,594,20130203,19000101214400
1385,DL,1069,20130203,19000101215200
87,B6,1990,20130203,19000101222000
1435,DL,1010,20130203,19000101224600
104,B6,301,20130203,19000101231100
4941,EV,1008,20130204,19000101081400
2057,DL,762,20130204,19000101085200
1655,UA,2434,20130204,19000101100300
3538,9E,1029,20130204,19000101101300
4913,EV,488,20130204,19000101111400
197,B6,2248,20130204,19000101123400
1205,UA,1167,20130204,19000101164600
4429,MQ,479,20130204,19000101173900
3387,9E,427,20130204,19000101182900
4410,MQ,213,20130204,19000101183500
1773,DL,1990,20130204,19000101192600
127,DL,2475,20130204,19000101195000
413,VX,2475,20130204,19000101201400
4569,MQ,431,20130204,19000101204400
31,DL,2586,20130204,19000101204900
2189,US,214,20130204,19000101205400
177,AA,2586,20130204,19000101215600
4150,EV,569,20130205,19000101091200
4233,EV,266,20130205,19000101091200
203,B6,2248,20130205,19000101095800
4220,9E,427,20130205,19000101103200
11,AS,2402,20130205,19000101104100
413,AA,1598,20130205,19000101114300
634,UA,1023,20130205,19000101122500
1647,DL,762,20130205,19000101133200
739,AA,1389,20130205,19000101135600
1612,UA,1372,20130205,19000101153500
323,WN,738,20130205,19000101170500
3771,YV,229,20130205,19000101173700
4622,MQ,764,20130205,19000101182200
2027,DL,1069,20130205,19000101184400
4019,9E,288,20130205,19000101192300
4092,EV,533,20130205,19000101205000
1100,UA,2402,20130205,19000101210000
645,FL,762,20130205,19000101215600
1020,B6,187,20130205,19000101220100
5716,EV,228,20130206,19000101072600
4490,MQ,479,20130206,19000101100100
443,AA,1089,20130206,19000101102300
4691,EV,533,20130206,19000101103100
600,B6,273,20130206,19000101105100
4471,MQ,431,20130206,19000101121200
145,WN,872,20130206,19000101130300
1728,UA,1416,20130206,19000101132200
349,FL,762,20130206,19000101163200
1250,UA,1400,20130206,19000101163700
2347,DL,762,20130206,19000101171300
153,B6,944,20130206,19000101171400
1085,B6,541,20130206,19000101182100
4525,MQ,1147,20130206,19000101182100
1999,AA,1085,20130206,19000101203000
391,B6,950,20130206,19000101203900
4412,EV,282,20130206,19000101210500
4532,EV,628,20130206,19000101211000
3783,MQ,483,20130206,19000101212300
3320,9E,301,20130206,19000101212900
1165,UA,2454,20130206,19000101213600
1729,DL,2248,20130206,19000101215100
4507,MQ,431,20130206,19000101222500
801,B6,1069,20130206,19000101223700
4404,EV,160,20130206,19000101225100
754,UA,997,20130207,19000101010800
727,B6,1576,20130207,19000101043200
1109,DL,1010,20130207,19000101111300
413,AA,1598,20130207,19000101113700
4349,EV,284,20130207,19000101130000
1249,UA,719,20130207,19000101151500
390,WN,1620,20130207,19000101152000
2079,DL,1076,20130207,19000101164800
745,UA,1620,20130207,19000101172800
1698,UA,2565,20130207,19000101181400
4484,MQ,764,20130207,19000101195200
373,US,541,20130207,19000101201000
3375,9E,1587,20130207,19000101205500
104,B6,301,20130207,19000101224800
21,B6,1005,20130207,19000101225100
112,B6,301,20130207,19000101234400
2119,DL,1020,20130208,19000101100600
565,UA,2227,20130208,19000101120700
406,UA,1400,20130208,19000101135400
4577,MQ,544,20130208,19000101165700
759,AA,1389,20130208,19000101175800
1231,DL,502,20130209,19000101162800
675,B6,2475,20130209,19000101194100
391,B6,950,20130209,19000101201000
9,B6,944,20130209,19000101204100
4091,9E,184,20130209,19000101212300
629,B6,1428,20130209,19000101233200
835,F9,1620,20130210,19000101010000
1885,DL,950,20130210,19000101113700
4306,EV,419,20130210,19000101150100
4271,EV,143,20130210,19000101170400
2115,DL,1096,20130210,19000101183800
1769,AA,1089,20130210,19000101193300
575,AA,1747,20130210,19000101233300
677,B6,2475,20130210,19000101234200
3439,9E,589,20130211,19000101011000
4543,EV,1017,20130211,19000101011300
383,B6,1076,20130211,19000101023400
1410,UA,1416,20130211,19000101100500
4230,EV,605,20130211,19000101102000
981,B6,1069,20130211,19000101102700
346,FL,762,20130211,19000101111000
717,AA,1389,20130211,19000101121900
4694,EV,725,20130211,19000101124000
373,B6,1076,20130211,19000101140600
4404,MQ,427,20130211,19000101145900
4687,EV,569,20130211,19000101163200
95,DL,760,20130211,19000101192700
725,B6,1576,20130212,19000101095000
4913,EV,488,20130212,19000101104900
1271,DL,1069,20130212,19000101110000
33,AA,2475,20130212,19000101112700
4670,MQ,764,20130212,19000101112900
1601,UA,1065,20130212,19000101113300
4445,EV,645,20130212,19000101122000
23,VX,2586,20130212,19000101134200
1006,B6,187,20130212,19000101134400
373,B6,1076,20130212,19000101135500
1174,DL,1035,20130212,19000101144800
4475,MQ,431,20130212,19000101144900
4628,EV,872,20130212,19000101150800
393,B6,950,20130212,19000101173700
2377,DL,950,20130212,19000101183800
1039,AA,1069,20130212,19000101184000
4485,EV,416,20130212,19000101185500
4661,MQ,762,20130212,19000101191200
5073,EV,812,20130212,19000101194600
2140,US,184,20130212,19000101195200
1574,UA,404,20130212,19000101213100
1178,B6,200,20130212,19000101213400
155,B6,944,20130212,19000101215600
2363,DL,2475,20130213,19000101000100
303,AA,733,20130213,19000101074300
4650,MQ,762,20130213,19000101083100
1305,B6,228,20130213,19000101083600
2118,US,184,20130213,19000101084700
725,B6,1576,20130213,19000101095500
3815,EV,445,20130213,19000101103500
1601,B6,1080,20130213,19000101104800
33,AA,2475,20130213,19000101105800
553,B6,1068,20130213,19000101122200
1061,B6,1521,20130213,19000101122300
3267,EV,284,20130213,19000101165300
1073,AA,1096,20130213,19000101170000
5486,EV,335,20130213,19000101174100
1698,UA,2565,20130213,19000101182400
4997,EV,488,20130213,19000101183600
2185,US,214,20130213,19000101191200
2131,DL,502,20130213,19000101203400
4412,EV,282,20130213,19000101213800
1383,B6,944,20130213,19000101232100
4423,EV,645,20130214,19000101090000
303,UA,2586,20130214,19000101090700
1144,UA,2565,20130214,19000101094900
3810,EV,708,20130214,19000101122100
1428,UA,997,20130214,19000101132200
1550,UA,2565,20130214,19000101135300
1275,DL,1990,20130214,19000101140800
2099,AA,1096,20130214,19000101144200
2134,US,184,20130214,19000101170700
820,UA,2586,20130214,19000101175000
505,B6,1065,20130214,19000101183200
731,UA,1068,20130214,19000101184400
785,AA,1389,20130214,19000101205300
1016,B6,187,20130214,19000101205900
